Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 824
Retained: 34
Retention rate: 4.1%

Newcomers:
  shashidarp           | First: 2017-11-03 | Latest: 2017-11-03 | Current activities:  0 | ❌ Not retained
  shnlb2006            | First: 2019-09-06 | Latest: 2019-09-06 | Current activities:  0 | ❌ Not retained
  shollander           | First: 2018-11-28 | Latest: 2020-12-22 | Current activities:  1 | ✅ RETAINED
  simo385              | First: 2018-10-19 | Latest: 2018-10-31 | Current activities:  0 | ❌ Not retained
  skosijer             | First: 2019-09-06 | Latest: 2019-11-22 | Current activities:  0 | ❌ Not retained
  springboot-plus      | First: 2019-10-23 | Latest: 2019-11-02 | Current activities:  0 | ❌ Not retained
  surajrrao            | First: 2016-12-05 | Latest: 2017-05-23 | Current activities:  0 | ❌ Not retained
  sureshpw             | First: 2019-05-18 | Latest: 2019-05-18 | Current activities:  0 | ❌ Not retained
  sverhagen            | First: 2019-07-19 | Latest: 2019-07-20 | Current activities:  0 | ❌ Not retained
  taasjord             | First: 2016-10-03 | Latest: 2019-11-03 | Current activities:  0 | ❌ Not retained
  talbert83            | First: 2017-09-27 | Latest: 2017-09-27 | Current activities:  0 | ❌ Not retained
  teggr                | First: 2015-04-01 | Latest: 2015-04-16 | Current activities:  0 | ❌ Not retained
  thokuest             | First: 2018-11-12 | Latest: 2018-11-12 | Current activities:  0 | ❌ Not retained
  thorntonrp           | First: 2018-08-03 | Latest: 2018-08-03 | Current activities:  0 | ❌ Not retained
  tokuhirom            | First: 2020-02-25 | Latest: 2020-02-27 | Current activities:  0 | ❌ Not retained
  tomdantuit           | First: 2017-11-17 | Latest: 2019-02-28 | Current activities:  0 | ❌ Not retained
  treeleafj            | First: 2016-07-27 | Latest: 2016-08-10 | Current activities:  0 | ❌ Not retained
  umeshupawar          | First: 2019-10-20 | Latest: 2019-10-21 | Current activities:  0 | ❌ Not retained
  wangjishan           | First: 2017-05-18 | Latest: 2017-05-18 | Current activities:  0 | ❌ Not retained
  winkumar             | First: 2016-01-29 | Latest: 2016-07-26 | Current activities:  0 | ❌ Not retained
  wzl1990              | First: 2017-01-11 | Latest: 2017-08-17 | Current activities:  0 | ❌ Not retained
  wzlee                | First: 2018-09-25 | Latest: 2018-12-25 | Current activities:  0 | ❌ Not retained
  xuande               | First: 2019-02-25 | Latest: 2019-02-26 | Current activities:  0 | ❌ Not retained
  yazhishu             | First: 2018-03-28 | Latest: 2018-03-28 | Current activities:  0 | ❌ Not retained
  yuliangjin1985       | First: 2016-11-03 | Latest: 2016-11-28 | Current activities:  0 | ❌ Not retained
  zhangjianbinJAVA     | First: 2017-07-07 | Latest: 2017-10-12 | Current activities:  0 | ❌ Not retained
  zhaoshenhao          | First: 2018-11-12 | Latest: 2018-11-14 | Current activities:  0 | ❌ Not retained
  zhujiebing           | First: 2019-07-25 | Latest: 2019-08-04 | Current activities:  0 | ❌ Not retained
  zzialml              | First: 2018-12-18 | Latest: 2019-01-09 | Current activities:  0 | ❌ Not retained
  1140920375           | First: 2018-04-28 | Latest: 2018-04-28 | Current activities:  0 | ❌ Not retained
  1sangram             | First: 2019-05-18 | Latest: 2019-05-18 | Current activities:  0 | ❌ Not retained
  595979101            | First: 2018-07-26 | Latest: 2018-07-26 | Current activities:  0 | ❌ Not retained
  82398485             | First: 2018-04-18 | Latest: 2018-04-18 | Current activities:  0 | ❌ Not retained
  995270418L           | First: 2017-10-14 | Latest: 2017-10-14 | Current activities:  0 | ❌ Not retained
  ADeane6              | First: 2018-06-25 | Latest: 2018-06-25 | Current activities:  0 | ❌ Not retained
  AaronAWatters        | First: 2016-01-14 | Latest: 2016-01-14 | Current activities:  0 | ❌ Not retained
  AaronChen2012        | First: 2018-08-27 | Latest: 2018-08-27 | Current activities:  0 | ❌ Not retained
  AlGreed              | First: 2016-03-31 | Latest: 2016-03-31 | Current activities:  0 | ❌ Not retained
