Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  fiveOO                         | First: 2021-07-13 | Last: 2021-08-16 | LEAVING
  davidkarlsen                   | First: 2021-08-05 | Last: 2021-08-05 | LEAVING
  hendisantika                   | First: 2016-11-23 | Last: 2021-08-01 | LEAVING
  thanks-git                     | First: 2021-07-28 | Last: 2021-07-28 | LEAVING
  kapilsoni2013                  | First: 2021-07-25 | Last: 2021-07-25 | LEAVING
  drmaciej                       | First: 2021-07-16 | Last: 2021-07-16 | LEAVING
  huan415                        | First: 2021-07-13 | Last: 2021-07-13 | LEAVING
  srempfer                       | First: 2018-03-27 | Last: 2021-07-06 | LEAVING
  AndrewGotz                     | First: 2021-07-06 | Last: 2021-07-06 | LEAVING
  julienbaleizaoWorldline        | First: 2021-07-06 | Last: 2021-07-06 | LEAVING
  xiaqinghh                      | First: 2021-06-25 | Last: 2021-06-25 | LEAVING
  miqi770                        | First: 2021-06-22 | Last: 2021-06-22 | LEAVING
  plumstone                      | First: 2021-06-17 | Last: 2021-06-17 | LEAVING
  Sunny2720                      | First: 2021-06-16 | Last: 2021-06-16 | LEAVING
  selimok                        | First: 2017-04-05 | Last: 2021-06-10 | LEAVING
  Alice52                        | First: 2021-06-08 | Last: 2021-06-08 | LEAVING
  lucwillems                     | First: 2018-10-06 | Last: 2021-06-07 | LEAVING
  TOP-LH                         | First: 2021-06-05 | Last: 2021-06-05 | LEAVING
  garunc                         | First: 2021-06-02 | Last: 2021-06-02 | LEAVING
  aam1go                         | First: 2021-05-28 | Last: 2021-05-28 | LEAVING
  jpuentesn                      | First: 2021-05-22 | Last: 2021-05-22 | LEAVING
  BayMax619                      | First: 2021-05-19 | Last: 2021-05-19 | LEAVING
  chiscojfr                      | First: 2021-05-14 | Last: 2021-05-14 | LEAVING
  sraveh                         | First: 2020-06-18 | Last: 2021-05-08 | LEAVING
  hakuseki                       | First: 2021-05-04 | Last: 2021-05-04 | LEAVING
  olithissen                     | First: 2021-05-03 | Last: 2021-05-03 | LEAVING
  lswlsw                         | First: 2021-04-30 | Last: 2021-04-30 | LEAVING
  Farden                         | First: 2021-04-22 | Last: 2021-04-22 | LEAVING
  rasi-tn                        | First: 2021-04-13 | Last: 2021-04-13 | LEAVING
  hogger0                        | First: 2021-01-12 | Last: 2021-04-11 | LEAVING
  odexue                         | First: 2021-04-07 | Last: 2021-04-07 | LEAVING
  stevengibbszions               | First: 2020-07-03 | Last: 2021-04-05 | LEAVING
  rahulkas123                    | First: 2021-04-05 | Last: 2021-04-05 | LEAVING
